city,district,street,rooms,size,level,max_levels,floor_state,price_m2,price,lat,lng
Tashkent,Chilonzor, Наккашлык,4,85.0,3,4,o'rta qavat,617,52500,41.259418,69.1804708
Tashkent,Uchtepa, Чиланзар 24-й квартал,1,42.0,5,5,oxirgi qavat,619,26000,41.2814223,69.1760005
Tashkent,Chilonzor, Чиланзар квартал Ц,4,110.0,3,4,o'rta qavat,954,105000,41.2798237,69.2058023
Tashkent,Uchtepa, Чиланзар квартал Г9А,3,70.0,4,4,oxirgi qavat,600,42000,41.2729489,69.1916465
Tashkent,Chilonzor, Чиланзар 8-й квартал,3,68.0,2,5,o'rta qavat,786,53500,41.2894422,69.2058023
Tashkent,Mirobod, Тараса Шевченко,3,110.0,4,7,o'rta qavat,972,107000,41.2991561,69.2785087
Tashkent,Chilonzor, Чиланзар 19-й квартал,2,46.0,3,4,o'rta qavat,760,35000,41.2710841,69.1849411
Tashkent,Chilonzor, Чиланзар квартал Ц,4,125.0,5,5,oxirgi qavat,560,70000,41.2798237,69.2058023
Tashkent,Mirzo Ulug‘bek, площадь Хамида Алимджана,2,72.0,18,19,o'rta qavat,763,55000,41.3180348,69.2942247
Tashkent,Mirzo Ulug‘bek, Алтынтепа,2,64.67,7,9,o'rta qavat,609,39414,41.3292204,69.3473509
Tashkent,Yunusobod, Чинабад,2,70.0,4,9,o'rta qavat,857,60000,41.4153867,69.4292923
Tashkent,Yunusobod, Киёт,1,50.0,7,9,o'rta qavat,740,37000,41.3245206,69.2773236
Tashkent,Mirzo Ulug‘bek, Буз-2 (Буз) ,2,51.0,2,4,o'rta qavat,960,49000,41.319567,69.3246635
Tashkent,Mirzo Ulug‘bek, Феруза,1,22.0,1,2,1-qavat,818,18000,41.3576548,69.3675816
Tashkent,Chilonzor, Чиланзар 5-й квартал,2,54.0,1,4,1-qavat,787,42500,41.2916859,69.2177228
Tashkent,Chilonzor, Чиланзар 5-й квартал,1,30.0,3,5,o'rta qavat,1150,34500,41.2916859,69.2177228
Tashkent,Chilonzor, Чиланзар 19-й квартал,1,42.0,5,9,o'rta qavat,880,37000,41.2710841,69.1849411
Tashkent,Yakkasaroy, Тафаккур,3,70.0,2,4,o'rta qavat,1000,70000,41.296195,69.262388
Tashkent,Shayxontohur, Самарканд Дарвоза,3,68.0,2,4,o'rta qavat,673,45800,41.3162377,69.2312263
Tashkent,Chilonzor, Чиланзар 7-й квартал,1,30.0,4,4,oxirgi qavat,800,24000,41.2948119,69.2087824
Tashkent,Uchtepa, Чиланзар 14-й квартал,1,52.0,1,4,1-qavat,1115,58000,41.2962523,69.1909015
Tashkent,Chilonzor, Чиланзар 16-й квартал,4,72.0,4,4,oxirgi qavat,770,55500,41.274633,69.200587
Tashkent,Chilonzor, Чиланзар 16-й квартал,4,76.0,2,4,o'rta qavat,894,68000,41.274633,69.200587
Tashkent,Uchtepa, Чиланзар 24-й квартал,2,48.0,4,4,oxirgi qavat,645,31000,41.2814223,69.1760005
Tashkent,Chilonzor, Аль-Хорезми-2,2,66.0,3,9,o'rta qavat,712,47000,41.260048,69.162198
Tashkent,Chilonzor, Чиланзар квартал Ц,3,60.0,3,5,o'rta qavat,783,47000,41.2798237,69.2058023
Tashkent,Chilonzor, Чиланзар 6-й квартал,2,37.0,1,4,1-qavat,1108,41000,41.2857552,69.2117625
Tashkent,Mirzo Ulug‘bek, Муминова,1,40.0,3,4,o'rta qavat,600,24000,41.3392308,69.3389519
Tashkent,Yunusobod, Юнусабад 11-й квартал,2,61.0,1,4,1-qavat,901,55000,41.3700057,69.2892434
Tashkent,Chilonzor, Чиланзар 4-й квартал,1,32.0,2,4,o'rta qavat,890,28500,41.2837307,69.2169777
Tashkent,Chilonzor, Чиланзар 16-й квартал,3,65.0,4,4,oxirgi qavat,646,42000,41.274633,69.200587
Tashkent,Uchtepa, Чупон-Ота,3,66.0,2,5,o'rta qavat,1015,67000,41.2902787,69.1839655
Tashkent,Chilonzor, Чиланзар 5-й квартал,3,70.0,4,4,oxirgi qavat,664,46500,41.2916859,69.2177228
Tashkent,Chilonzor, Катта козиробод,3,66.0,4,4,oxirgi qavat,765,50500,41.2773103,69.2152083
Tashkent,Uchtepa, Чиланзар 11-й квартал,3,65.0,1,4,1-qavat,615,40000,41.2770171,69.1909015
Tashkent,Mirzo Ulug‘bek, Алтынтепа,2,69.65,4,9,o'rta qavat,648,45188,41.3292204,69.3473509
Tashkent,Uchtepa, Чиланзар 11-й квартал,4,88.0,4,5,o'rta qavat,602,53000,41.2770171,69.1909015
Tashkent,Yakkasaroy, Кушбеги,1,38.0,2,5,o'rta qavat,673,25600,41.2673079,69.2415634
Tashkent,Mirobod, Госпитальный,2,61.0,6,9,o'rta qavat,852,52000,41.295316,69.275364
Tashkent,Mirzo Ulug‘bek, Навнихол,2,45.0,3,7,o'rta qavat,977,44000,41.3462538,69.3323894
Tashkent,Sergeli, Сергели-VII,3,69.0,2,9,o'rta qavat,579,40000,41.2202309,69.2251673
Tashkent,Mirzo Ulug‘bek, Алтынтепа,2,55.13,5,9,o'rta qavat,638,35226,41.3292204,69.3473509
Tashkent,Chilonzor, Чиланзар 8-й квартал,3,67.0,4,4,oxirgi qavat,805,54000,41.2894422,69.2058023
Tashkent,Shayxontohur, 1-й проезд Генерала Узакова,1,38.0,5,5,oxirgi qavat,592,22500,41.3268984,69.1952565
Tashkent,Mirzo Ulug‘bek, Карасу 1-й квартал,2,67.0,2,4,o'rta qavat,544,36500,41.3375577,69.3726789
Tashkent,Yakkasaroy, пр-т Бабура,2,54.0,4,9,o'rta qavat,740,40000,41.2892951,69.2582738
Tashkent,Chilonzor, Чиланзар квартал 20А,2,58.0,1,9,1-qavat,603,35000,41.259418,69.1804708
Tashkent,Mirobod, Фидокор (Чехова) ,4,100.0,5,8,o'rta qavat,1420,142000,41.296644,69.275878
Tashkent,Chilonzor, Мукими,4,90.0,4,5,o'rta qavat,577,52000,41.2885649,69.2290098
Tashkent,Olmazor, ул  ХУРРИЯТ 75,3,91.0,3,3,oxirgi qavat,934,85000,41.3645355,69.2281531
Tashkent,Shayxontohur, 1-й проезд Лабзак,4,111.0,7,8,o'rta qavat,990,110000,41.327974,69.2611824
Tashkent,Sergeli, Сергели 6 А дом 9 кв 53,2,54.0,6,7,o'rta qavat,666,36000,41.2304214,69.2117625
Tashkent,Yashnobod, жилой комплекс У.М. Шахидов 58-й городок,3,69.0,5,5,oxirgi qavat,753,52000,41.2994958,69.2400734
Tashkent,Yunusobod, Юнусабад 14-й квартал,5,107.0,5,5,oxirgi qavat,467,50000,41.3709551,69.307123
Tashkent,Mirzo Ulug‘bek, Массив А. Югнакий,3,80.0,2,5,o'rta qavat,687,55000,41.3539037,69.3851063
Tashkent,Yunusobod, Юнусабад 4 квартал,2,63.0,5,9,o'rta qavat,666,42000,41.3653679,69.2773236
Tashkent,Mirobod, Жемчуг,3,74.0,5,16,o'rta qavat,932,69000,41.3021647,69.2687
Tashkent,Yashnobod, 40 лет тузел-3 Франция,2,58.0,5,5,oxirgi qavat,498,28900,41.294821,69.3659745
Tashkent,Mirzo Ulug‘bek, Паркентский,2,62.0,9,9,oxirgi qavat,548,34000,41.3146381,69.3228615
Tashkent,Mirzo Ulug‘bek, жилой комплекс Goldhill,3,107.0,2,8,o'rta qavat,794,85000,41.3466485,69.3328133
Tashkent,Olmazor, ТашПИ,1,40.41,2,4,o'rta qavat,618,25000,41.3488728,69.1689332
Tashkent,Chilonzor, Мирзо Улуғбек метро,2,54.0,2,4,o'rta qavat,722,39000,41.2828581,69.2125566
Tashkent,Mirzo Ulug‘bek, ц-1 Буюк ипак йули (Ц-1) ,1,40.0,1,4,1-qavat,1500,60000,41.3104865,69.2922234
Tashkent,Mirzo Ulug‘bek, Дурмон йули,2,50.0,1,5,1-qavat,730,36500,41.3357758,69.34359
Tashkent,Yashnobod, Мавлоно Риёзи,3,75.0,5,9,o'rta qavat,560,42000,41.3123276,69.3159192
Tashkent,Mirzo Ulug‘bek, Паркент,3,84.0,7,8,o'rta qavat,1011,85000,41.3133669,69.3235746
Tashkent,Mirzo Ulug‘bek, Ирригатор,3,117.0,2,5,o'rta qavat,1068,125000,41.3203273,69.2993794
Tashkent,Mirzo Ulug‘bek, Буз-2 (Буз) ,3,70.0,5,5,oxirgi qavat,528,37000,41.319567,69.3246635
Tashkent,Mirzo Ulug‘bek, проспект Мустакиллик,1,47.0,2,9,o'rta qavat,893,42000,41.3209122,69.303727
Tashkent,Chilonzor, Чиланзар-17,2,56.0,2,5,o'rta qavat,642,36000,41.271386,69.1961168
